work_year,employment_type,remote_ratio,company_size
2020,FT,0,L
2020,FT,0,S
2020,FT,50,M
2020,FT,0,S
2020,FT,50,L
2020,FT,100,L
2020,FT,100,S
2020,FT,50,L
2020,FT,100,L
2020,FT,50,S
2020,FT,0,S
2020,FT,0,L
2020,FT,0,M
2020,FT,100,L
2020,FT,100,L
2020,FT,50,L
2020,FT,100,S
2020,FT,100,S
2020,FT,50,M
2020,FT,100,M
2020,FT,0,M
2020,FT,100,L
2020,FT,50,L
2020,FT,0,M
2020,FT,0,L
2020,FT,100,L
2020,FT,50,L
2020,FT,0,S
2020,CT,100,L
2020,FT,50,L
2020,FT,100,S
2020,FT,100,L
2020,FT,100,L
2020,FT,0,M
2020,FT,50,L
2020,FT,50,L
2020,FT,100,L
2020,FT,50,L
2020,FT,100,S
2020,FT,100,S
2020,FT,100,S
2020,FT,50,L
2020,FT,0,M
2020,FT,100,L
2020,FT,50,L
2020,PT,100,S
2020,FT,100,S
2020,FT,100,L
2020,FT,100,L
2020,FT,50,L
2020,FT,0,S
2020,FT,100,L
2020,FT,50,S
2020,FT,100,L
2020,FL,100,S
2020,FT,100,M
2020,FT,100,M
2020,FT,100,M
2020,FT,50,L
2020,FT,100,M
2020,FT,100,L
2020,FT,100,M
2020,PT,50,S
2020,FT,100,L
2020,FT,100,S
2020,FT,50,S
2020,FT,0,S
2020,FT,100,M
2020,FT,100,S
2020,FT,0,S
2020,FT,50,S
2020,FT,50,S
2021,FT,50,L
2021,FT,100,L
2021,FT,100,L
2021,FT,50,L
2021,FT,100,M
2021,PT,50,M
2021,CT,100,L
2021,FT,100,M
2021,FT,100,L
2021,FT,100,L
2021,FT,50,L
2021,FT,100,S
2021,FT,100,L
2021,FT,100,L
2021,FT,50,M
2021,FT,100,L
2021,FT,100,L
2021,FT,100,S
2021,FT,100,L
2021,FT,100,S
2021,FT,100,L
2021,FT,0,L
2021,FT,50,L
2021,FT,50,L
2021,PT,100,S
2021,FT,100,L
2021,FT,100,M
2021,FT,100,S
2021,FT,0,L
2021,FT,100,L
2021,FT,50,L
2021,FT,0,L
2021,FT,0,L
2021,FT,50,L
2021,FT,100,L
2021,FT,100,S
2021,FT,100,M
